Product Code,Item Description (WIP Name),Pack Size,Label or Customer Name,Ross WIP #,Line,BLENDING ROOM,GRINDING ROOM,Notes,  WIP BATCH SIZE POUNDS,Minimum Wt.,MinimumWt. using MAV,MAV,Target Wt.,Maximum Wt.
241238,Horseradish w/MOEB ,4/8 LBS,Damn Good Cocktails,HRF11,GALLON,,X,,1400,2424.0,,,2497,2572
325233S,GARLIC AIOLI w/ SUGAR,4/1 GAL,LEDO'S,LED01S,GALLON,X,,,1846,1758,1681,77,1811,1865
590276,CLASSIC MAYO,4/1 GAL,SIR KENSINGTON'S,SRK01,GALLON,X,,,1875,3630,3544,86,3739,3851
596276,DIJONNAISE,4/1 GAL,SIR KENSINGTON'S,SRK08,GALLON,X,,,1897,,,,,
631276,CLASSIC RANCH,4/1 GAL,SIR KENSINGTON'S,SRK14,GALLON,X,,,1698,,,,,
632276,PIZZA RANCH,4/1 GAL,SIR KENSINGTON'S,SRK16,GALLON,X,,,1552,,,,,
633276,AVOCADO RANCH,4/1 GAL,SIR KENSINGTON'S,SRK15,GALLON,X,,,1546,,,,,
634276,BUFFALO RANCH,4/1 GAL,SIR KENSINGTON'S,SRK17,GALLON,X,,,1712,,,,,
435238,VINEGAR POMPEIAN RED WINE ,4/1 GALLON,POMPEIAN,"CS0096
4N51",GALLON/RETAIL,,,CUSTOMER SUPPLIED - TANKER. Can run on either line.,,,,,,
187001,GAR/O,30# Pail,T,GOR01,PAIL,X,,GWR07+OIL AT THE LINE=GOR01,3511,,,,,
034215,HR WHT CRSE,30# Pail,KRAFT,HRC02,PAIL,,X,,1113,0,-86,86,0,0
040219,HR WHT FINE,30# Pail,T (RICHELIEU),HRF09,PAIL,,X,,1114,3511,3510.6,0.4,3616.3,3725
041357,HR WHT FINE,30# Pail,MAK,HRF07,PAIL,,X,,2210,,,,,
043001,HR WHT CRSE,30# Pail,T,HRC01,PAIL,,X,,1114,1114,1113.63,0.37,1147.42,1182
043113,HR WHT CRSE,30# Pail,OC.SPRAY,HRC02,PAIL,,X,,1113,2210,2209.63,0.37,2276.30,2345
043195,HR WHT CRSE,30# Pail,CAIN'S,HRC02,PAIL,,X,,1113,1114,1113.63,0.37,1147.42,1182
045001,GAR/W,30# Pail,T,GWR01,PAIL,,,,3562,1113,1112.63,0.37,1146.39,1181
045172,GAR/W CITRIC ACID,30# Pail,T,GWR02,PAIL,X,,,3385,1113,1112.63,0.37,1146.39,1181
045395,GAR/W,30# Pail,HEINZ,GWR01,PAIL,X,,,3562,3562,3561.63,0.37,3668.86,3779
045396,GAR/W,30# Pail,KELLOGG,GWR01,PAIL,X,,,3562,3385,3384.63,0.37,3486.55,3591
048001,GAR/W CITRIC ACID,30# Pail,T,GWR04,PAIL,X,,,3571,3562,3561.63,0.37,3668.86,3779
049001,HR WHT CRSE,35# Pail,T,HRC03,PAIL,,X,,1113,3562,3561.63,0.37,3668.86,3779
050001,HR WHT FINE,35# Pail,T,HRF09,PAIL,,X,,1114,3571,3571,0.4,3678,3788
051001,HR WHT CRSE,35# Pail,T,HRC01,PAIL,,X,,1114,1113,1113,0.4,1146,1181
067001,HR WHT FINE,30# Pail,T,HRF01,PAIL,,X,,2210,1114,1114,0.4,1147,1182
071082,GAR/O VALUE,30# Pail,SEASIDE,GOV01,PAIL,X,,GWV01+OIL AT THE LINE=GOV01,3547,1114,1114,0.4,1147,1182
072037,GARLIC/W VALUE,30# Pail,SYSCO CLASSIC ,GWV01,PAIL,X,,,3547,2210,2210,0,2276,2345
072082,GARLIC/W VALUE,30# Pail,SEASIDE,GWV01,PAIL,X,,,3547,3547,3547,0,3653,3763
073001,GAR/PUREE,30# Pail,T,GPR01,PAIL,X,,,3315,3547,,,,
073133,GAR/PUREE,30# Pail,KENS,GPR01,PAIL,X,,,3315,3547,3547,0,3653,3763
073220,GARLIC PUREE,30# Pail,VENTURA FOODS,GPR01,PAIL,X,,,3315,3315,3315,0,3414,3517
089001,HR WHT FINE,35# Pail,T,HRF12,PAIL,,X,,1200,3315,3315,0,3414,3517
089244,HR WHT FINE,35# Pail,TW GARNER,HRF12,PAIL,,X,,1200,3315,3315,0,3414,3517
092001,HR WHT CRSE,30# Pail,T,HRC07,PAIL,,X,,2000,1200,,,1236,1273
125001,CHOPPED RSTED GARLIC,30# Pail,T (DAWN FOODS),GRC04,PAIL,X,,,3562,1200,0,0,1236,1273
163001,PUREE/GING,35# Pail,T,GIP01,PAIL,,X,,2718,,,,,
164001,PUREE/GING ALL NAT,30# Pail,T,GIP04,PAIL,,X,,1000,,,,,
164357,PUREE/GING ALL NAT,30# Pail,MID ATLANTIC KITCHEN,GIP04,PAIL,,X,,1000,2718,2717.6,0.4,2799.5,2884
183001,HR WHT FINE ,30# Pail,SEASIDE,HRV01,PAIL,,X,HRF01+WATER AT THE LINE=HRV01,2210,1000,999.6,0.4,1030.0,1061
319001,PIZZA SAUCE - UMD,4/1 lb Pouches,UNIVERSITY OF MARYLAND,PIZ01,POUCH,X,,,2300,1000,999.6,0.4,1030.0,1061
389275,SHACK SAUCE,6/5.5 lb Pouches,Shake Shack,SHK02,POUCH,X,,,1800,2210,2124,86,2276,2345
399275,Buttermilk Herb Sauce ,6/5.5 lb Pouches,Shake Shack,SHK01,POUCH,X,,,1636,2300,,,2369,2440
591276,SUGAR FREE CLASSIC MAYO,4/1 GAL,SIR KENSINGTON'S,SRK03,POUCH,X,,,1841,,,,,
001001,HR WHT FINE,12/5 OZ,T,HRF03,RETAIL,,X,,1107,,,,,
013001S,CKTAIL SCE w/ SUGAR,12/8 OZ,T,CSR01S,RETAIL,X,,,2258,,,,,
013356S,CKTAIL SCE w/ SUGAR,12/9 OZ,THE FRESH MARKET,CSR01S,RETAIL,X,,,2258,142,133,9,146,151
017356S,FM BOLD CKTAIL SCE w/ SUGAR,12/9 OZ,THE FRESH MARKET,CSB03S,RETAIL,X,,,2424,,,,,
028001,HR WHT FINE,12/8 OZ,T,HRF03,RETAIL,,X,,1107,1107,1094,13,1140,1174
028054,HR WHT FINE,12/8 OZ,ROSOL,HRF03,RETAIL,,X,,1107,1107,1094,13,1140,1174
028061,HR WHITE,12/8 OZ,SHOP-PASSOVER,HRF05,RETAIL,,X,RUN ONCE A YEAR,1150,1150,1137,13,1185,1220
028087,HR WHT FINE PASSOVER,12/8 OZ,PASSOVER,HRF05,RETAIL,,X,RUN ONCE A YEAR,1150,1150,1137,13,1185,1220
028098,HR WHT FINE,12/8 OZ,SHOPRITE,HRF03,RETAIL,,X,,1107,1107,1094,13,1140,1174
028156,HR WHT FINE,12/8 OZ,GFS,HRF01,RETAIL,,X,,2210,,,,,
033001,HR RED FINE,12/8 OZ,T,HRR01,RETAIL,,X,,1177,1177,1164,13,1212,1249
033054,HR RED FINE,12/8 OZ,ROSOL,HRR01,RETAIL,,X,,1177,1177,1164,13,1212,1249
033061,HR RED FINE PASSOVER,12/8 OZ,SHOP-PASSOVER,HRR02,RETAIL,,X,RUN ONCE A YEAR,1257,1257,1244,13,1295,1334
033087,HR RED FINE PASSOVER,12/8 OZ,PASSOVER,HRR02,RETAIL,,X,RUN ONCE A YEAR,1257,1257,1244,13,1295,1334
033098,HR RED FINE,12/8 OZ,SHOPRITE,HRR01,RETAIL,,X,,1177,1177,1164,13,1212,1249
061356S,TAR SCE DILL w/ SUGAR,12/8 FL OZ,THE FRESH MARKET,TAD01S,RETAIL,X,,,1389,,,,,
064230S,EXTRA BOLD CKTAIL SCE w/ SUGAR,12/9 OZ,PHILLIPS,CSB02S,RETAIL,X,,,2397,,,,,
070230S,TAR SCE DILL,12/8.25 OZ,PHILLIPS,TAD01S,RETAIL,X,,,1389,,,,,
077356S,TAR SCE SWT - SUGAR,12/8 FL OZ,THE FRESH MARKET,TAS01S,RETAIL,X,,,1389,,,,,
083001S,CHPTL CHILI AIOLI,8/18 FL OZ,T,CCA01S,RETAIL,X,,,1800,490,468,22,504,519
088001S ,TGR SCE,8/18 FL OZ,T,TIS01S,RETAIL,X,,,1851,484,464,20,499,513
090001S,EXTRA BOLD CKTAIL SCE w/ SUGAR,8/20.5 OZ,T,CSB02S,RETAIL,X,,,2397,,,,,
093001S,HR SCE DELI,8/18 FL OZ,T,DHR01S,RETAIL,X,,,648,510,488,22,525,541
098001,KIMCHI AILOI,8/18 FL OZ,T,KIM01,RETAIL,X,,,1692,1692,,,1743,1795
099001,GARLIC AIOLI  ,8/18 FL OZ,T,LED01S,RETAIL,X,,,1846,1846,,,1901,1958
102001,KICKIN' DIPPIN' SAUCE,8/18 FL OZ,T,HMA01,RETAIL,X,,,2111,,,,,
103001,JALAPENO AIOLI,8/18 FL OZ,T,JPA01,RETAIL,X,,,1600,,,,,
229328,HR WHT w/ MOEB,12/8 OZ,DAMN GOOD COCKTAILS,HRF11,RETAIL,,X,,1400,,,,,
361267,OIL COCONUT ORGANIC,12/14 FL OZ,VITA COCO,CS0129,RETAIL,,,CUSTOMER SUPPLIED - TOTES,,,,,,
362267,OIL COCONUT ORGANIC,6/14 FL OZ,VITA COCO,CS0129,RETAIL,,,CUSTOMER SUPPLIED - TOTES,,,,,,
362285,OIL COCONUT ORGANIC,6/14 FL OZ,VITA COCO CANADA,CS0129,RETAIL,,,CUSTOMER SUPPLIED - TOTES,,,,,,
421238,SHERRY COOKING WINE,6/12.7 FL OZ (375 mL),POMPEIAN,"CS0102
4P61",RETAIL,,,CUSTOMER SUPPLIED - TANKER,,0,-30,30,0,0
421265,SHERRY COOKING WINE,6/12.7 FL OZ (375 mL),SHOPRITE,"CS0102
4P61",RETAIL,,,CUSTOMER SUPPLIED - TANKER,,0,-38,38,0,0
422238,MARSALA COOKING WINE,6/12.7 FL OZ (375 mL),POMPEIAN,"CS0104
4P63",RETAIL,,,CUSTOMER SUPPLIED - TANKER,,0,-31,31,0,0
422265,MARSALA COOKING WINE,6/12.7 FL OZ (375 mL),SHOPRITE,"CS0104
4P63",RETAIL,,,CUSTOMER SUPPLIED - TANKER,,0,-39,39,0,0
423238,SAUTERNE COOKING WINE (WHITE),6/12.7 FL OZ (375 mL),POMPEIAN,"CS0103
4P62",RETAIL,,,CUSTOMER SUPPLIED - TANKER,,0,-32,32,0,0
423265,SAUTERNE COOKING WINE (WHITE),6/12.7 FL OZ (375 mL),SHOPRITE,"CS0103
4P62",RETAIL,,,CUSTOMER SUPPLIED - TANKER,,0,-40,40,0,0
424238,BURGUNDY COOKING WINE,6/12.7 FL OZ (375 mL),POMPEIAN,"CS0105
4P64",RETAIL,,,CUSTOMER SUPPLIED - TANKER,,0,-33,33,0,0
424265,BURGUNDY COOKING WINE,6/12.7 FL OZ (375 mL),SHOPRITE,"CS0105
4P64",RETAIL,,,CUSTOMER SUPPLIED - TANKER,,0,-41,41,0,0
425238,SHERRY COOKING WINE,6/16 fl. oz.,POMPEIAN,CS0102,RETAIL,,,CUSTOMER SUPPLIED - TANKER,,0,,,0,0
426238,MARSALA COOKING WINE,6/16 fl. oz.,POMPEIAN,CS0104 ,RETAIL,,,CUSTOMER SUPPLIED - TANKER,,,,,,
427238,WHITE COOKING WINE,6/16 fl. oz.,POMPEIAN,CS0029,RETAIL,,,CUSTOMER SUPPLIED - TANKER,,,,,,
428238,BURGUNDY COOKING WINE,6/16 fl. oz.,POMPEIAN,CS0105 ,RETAIL,,,CUSTOMER SUPPLIED - TANKER,,,,,,
446325,SESAME GARLIC SCE,4/4.9 LBS,ASIAN MENU,ASM01,RETAIL,X,,,4000,4000,3937,63,4120,4244
447325,BROWN SAUCE (STIR FRY),4/4.9 LBS,ASIAN MENU,ASM03,RETAIL,X,,,4000,4000,3937,63,4120,4244
448325,GENERAL TSO,4/4.9 LBS,ASIAN MENU,ASM04,RETAIL,X,,,4000,4000,3937,63,4120,4244
449325,ORANGE GINGER ,4/4.86 LBS,ASIAN MENU,ASM05,RETAIL,X,,,4000,4000,3937,63,4120,4244
450325,HOISIN TERIYAKI SCE,2/10.34 LB,ASIAN MENU,ASM02,RETAIL,X,,,4000,4000,3901,99,4120,4244
451325,SESAME GARLIC SAUCE,2/10.34 LB,ASIAN MENU,ASM01,RETAIL,X,,,4000,4000,3901,99,4120,4244
453325,HOISIN TERIYAKI SCE,6/15.5 OZ,ASIAN MENU,ASM02,RETAIL,X,,,4000,4000,3980,20,4120,4244
454325,SESAME GARLIC SAUCE,6/15.5 OZ,ASIAN MENU,ASM01,RETAIL,X,,,4000,4000,3980,20,4120,4244
455325,BROWN SAUCE (STIR FRY),6/15.5 OZ,ASIAN MENU,ASM03,RETAIL,X,,,4000,4000,3980,20,4120,4244
456390,LWRYS GARLIC SPREAD,12/6 OZ,McCORMICK,LWR01,RETAIL,X,,,1717,1717,1706,11,1769,1822
480156,LIQUID SMOKE FLAVOR,12/32 FL OZ,GFS,LSF01,RETAIL,X,,,3000,3000,2968,32,3090,3183
592276,CLASSIC MAYO,6/10 FL OZ,SIR KENSINGTON'S,SRK01,RETAIL,X,,,1875,,,,,
593276,CLASSIC MAYO,6/16 FL OZ,SIR KENSINGTON'S,SRK01,RETAIL,X,,,1875,,,,,
594276,CLASSIC MAYO,6/32 FL OZ,SIR KENSINGTON'S,SRK01,RETAIL,X,,,1875,,,,,
615276,CLASSIC MAYO,6/12 FL OZ,SIR KENSINGTON'S,SRK01,RETAIL,X,,,1875,,,,,
616276,ORGANIC MAYO ,6/12 FL OZ,SIR KENSINGTON'S,SRK09,RETAIL,X,,,1871,,,,,
617276,AVOCADO OIL MAYO,6/12 FL OZ,SIR KENSINGTON'S,SRK02,RETAIL,X,,,1871,,,,,
618276,CHIPOTLE MAYO,6/12 FL OZ,SIR KENSINGTON'S,SRK10,RETAIL,X,,,1800,,,,,
619276,SPECIAL SAUCE,6/12 FL OZ,SIR KENSINGTON'S,SRK05,RETAIL,X,,,1718,,,,,
620276,AVOCADO OIL MAYO,6/16 FL OZ,SIR KENSINGTON'S,SRK02,RETAIL,X,,,1871,,,,,
621276,ORGANIC MAYO ,6/32 FL OZ,SIR KENSINGTON'S,SRK09,RETAIL,X,,,1871,,,,,
622276,AVOCADO RANCH,6/9 FL OZ,SIR KENSINGTON'S,SRK15,RETAIL,X,,,1546,,,,,
624276,BUFFALO RANCH,6/9 FL OZ,SIR KENSINGTON'S,SRK17,RETAIL,X,,,1712,,,,,
626276,CLASSIC RANCH,6/9 FL OZ,SIR KENSINGTON'S,SRK14,RETAIL,X,,,1698,,,,,
627276,PIZZA RANCH,6/9 FL OZ,SIR KENSINGTON'S,SRK16,RETAIL,X,,,1552,,,,,
628276,SRIRACHA MAYO,6/10 FL OZ,SIR KENSINGTON'S,SRK06,RETAIL,X,,,1845,,,,,
629276,DIJONNAISE,6/10 FL OZ,SIR KENSINGTON'S,SRK08,RETAIL,X,,,1897,,,,,
642276,ORGANIC MAYO ,6/16 FL OZ,SIR KENSINGTON'S,SRK09,RETAIL,X,,,1871,,,,,
643276,CHIPOTLE MAYO,6/10 FL OZ,SIR KENSINGTON'S,SRK10,RETAIL,X,,,1800,,,,,
714131,GINGER PLUM SAUCE,4/9.06 LBS,MELTING POT,71413,RETAIL,X,,,3000,3000,2914,86,3090,3183
714141,TERIYAKI GLAZE,4/8.75 LBS,MELTING POT,71414,RETAIL,X,,,3000,3000,2914,86,3090,3183
004001,HR WHT FINE,2/32 OZ,T,HRF01,TUB,,X,,2210,2210,2178,32,2276,2345
009001,HR WHT FINE,6/32 OZ,T,HRF01,TUB,,X,,2210,2210,2178,32,2276,2345
009037,HR WHT FINE,6/32 OZ,SYSCO CLASSIC ,HRF01,TUB,,X,,2210,2210,,,2276,2345
009057,HR WHT FINE,6/32 OZ,COBBLESTREET MARKET ORIGINALS,HRF01,TUB,,X,,2210,2210,,,2276,2345
009108,HR WHT FINE,6/32 OZ,WHITE MUSTANG,HRF01,TUB,,X,,2210,2210,2178,32,2276,2345
009147,HR WHT FINE,6/32 OZ,MONARCH,HRF01,TUB,,X,,2210,2210,2178,32,2276,2345
025229S,CKTAIL SCE,24/8 OZ (TUB),T (PUBLIX),CSR01S,TUB,X,,,2258,227,214,13,234,241
047001,GAR/W CITRIC ACID,6/32 OZ,T,GWR04,TUB,X,,,3571,3571,3539,32,3678,3788
047036,GAR/W CITRIC ACID,6/32 OZ,ARREZZIO,GWR04,TUB,X,,,3571,3571,3539,32,3678,3788
047057,GAR/W CITRIC ACID,6/32 OZ,COBBLESTREET MARKET ORIGINALS,GWR04,TUB,X,,,3571,3571,,,3678,3788
047105,GAR/W CITRIC ACID,6/32 OZ,NATURAL PACK,GWR04,TUB,X,,,3571,3571,3539,32,3678,3788
047125,GAR/W CITRIC ACID,6/32 OZ,ROSELI,GWR04,TUB,X,,,3571,3571,3539,32,3678,3788
047300,GAR/W CITRIC ACID,6/32 OZ,T (APPLEBEE'S/EGN),GWR04,TUB,X,,,3571,3571,3539,32,3678,3788
052001S,TGR SCE,6/32 FL OZ,T,TIS01S,TUB,X,,,1851,1851,1819,32,1907,1964
052037,TGR SCE,6/32 FL OZ,SYSCO CLASSIC ,TIS01S,TUB,X,,,1851,1851,1819,32,1907,1964
054001S,CKTAIL SCE,6/32 OZ,T,CSR01S,TUB,X,,,2258,,,,,
054037S,CKTAIL SCE,6/32 OZ,SYSCO CLASSIC ,CSR01S,TUB,X,,,2258,2258,,,2326,2396
096001,GAR/RSTD/CHPD,6/32 OZ,T,GRC01,TUB,X,,,3547,3547,3515,32,3653,3763
096036,GAR/RSTD/CHPD,6/32 OZ,ARREZZIO,GRC01,TUB,X,,,3547,3547,3515,32,3653,3763
096196,GAR/RSTD/CHPD,6/32 OZ,MELTING POT,GRC01,TUB,X,,,3547,3547,3515,32,3653,3763
110202,GING/GAR MIX,6/32 OZ,PANDA,GIGA01,TUB,X,,,6849,6849,6817,32,7054,7266
110302,GING/GAR MIX,6/32 OZ,PANDA CANADA,GIGA01,TUB,X,,,6849,6849,6817,32,7054,7266
110303,GING/GAR MIX,6/32 OZ,PANDA UAE,GIGA01,TUB,X,,,6849,907,875,32,934,962
134059,HR WHT FINE ,6/32 OZ,COBBLESTREET MARKET FOUNDATIONS,HRV01,TUB,X,,HRF01+WATER AT THE LINE=HRV01,2210,,,,,
134143,HR WHT FINE,6/32 OZ,MT STIRLING,HRV01,TUB,X,,HRF01+WATER AT THE LINE=HRV01,2210,2210,2178,32,2276,2345
134198,HR WHT FINE ,6/32 OZ,WEST CREEK,HRV01,TUB,X,,HRF01+WATER AT THE LINE=HRV01,2210,,,,,
135059,GARLIC/W VALUE,6/32 OZ,COBBLESTREET MARKET FOUNDATIONS,GWV01,TUB,X,,,3547,,,,,
135114,GARLIC/W VALUE,6/32 OZ,MAMA LUCIA,GWV01,TUB,X,,,3547,3547,3515,32,3653,3763
135143,GARLIC/W VALUE,6/32 OZ,MT STIRLING,GWV01,TUB,X,,,3547,3547,3515,32,3653,3763
135147,GARLIC/W VALUE,6/32 OZ,MONARCH,GWV01,TUB,X,,,3547,3547,3515,32,3653,3763
135197,GARLIC/W VALUE ,6/32 OZ,ROMA,GWV01,TUB,X,,,3547,,,,,
136059,GAR/O VALUE,6/32 OZ,COBBLESTREET MARKET FOUNDATIONS,GOV01,TUB,X,,GWV01+OIL AT THE LINE=GOV01,3547,,,,,
136114,GAR/O VALUE,6/32 OZ,MAMA LUCIA,GOV01,TUB,X,,GWV01+OIL AT THE LINE=GOV01,3547,3547,3515,32,3653,3763
136147,GAR/O VALUE,6/32 OZ,MONARCH,GOV01,TUB,X,,GWV01+OIL AT THE LINE=GOV01,3547,3547,3515,32,3653,3763
136197,GAR/O VALUE ,6/32 OZ,ROMA,GOV01,TUB,X,,GWV01+OIL AT THE LINE=GOV01,3547,,,,,
140036,GARLIC/W VALUE,6/32 OZ,ARREZZIO,GWV01,TUB,X,,,3547,3547,3515,32,3653,3763
141036,GAR/O VALUE,6/32 OZ,ARREZZIO,GOV01,TUB,X,,GWV01+OIL AT THE LINE=GOV01,3547,3547,3515,32,3653,3763
162001,PESTO BASIL,2/30 FL OZ,T,PES01,TUB,X,,,6519,6519,6487,32,6715,6916
162125,PESTO BASIL,2/30 FL OZ,ROSELI,PES01,TUB,X,,,6519,6519,6487,32,6715,6916
174001,GAR/O,6/32 OZ,T,GOR01,TUB,X,,GWR07+OIL AT THE LINE=GOR01,3511,3511,3479,32,3616,3725
174036,GAR/O,6/32 OZ,ARREZZIO,GOR01,TUB,X,,GWR07+OIL AT THE LINE=GOR01,3511,3511,3479,32,3616,3725
174057,GAR/O,6/32 OZ,COBBLESTREET MARKET ORIGINALS,GOR01,TUB,X,,GWR07+OIL AT THE LINE=GOR01,3511,3511,,,3616,3725
189202,GAR/O XTRA Garlic flavor,6/32 OZ,Panda,GOR03,TUB,X,,GWR07+OIL AT THE LINE=GOR03,3527,3527,,,3632.8,3742
195001,PUREE/GING,6/32 OZ,T,GIP01,TUB,,X,,2718,2718,2686,32,2800,2884
195036,PUREE/GING,6/32 OZ,ARREZZIO,GIP01,TUB,,X,,2718,2718,2686,32,2800,2884
198001,PESTO BASIL,6/30 FL OZ,T,PES01,TUB,X,,,6519,6519,6487,32,6715,6916
198036,PESTO BASIL,6/30 FL OZ,ARREZZIO,PES01,TUB,X,,,6519,6519,6487,32,6715,6916
199001,PUREE/GING,2/32 OZ,T,GIP01,TUB,,X,,2718,2718,2686,32,2800,2884
200037,CHP GARLIC & OLIVEOIL,6/32 OZ,SYSCO CLASSIC ,GOO02,TUB,X,,GWR07+OIL AT THE LINE=GOO02,3511,907,,,,
234019,HR WHT FINE ,6/32 OZ,UNIPRO,HRV01,TUB,,X,HRF01+WATER AT THE LINE=HRV01,2210,,,,,
234082,HR WHT FINE ,6/32 OZ,SEASIDE,HRV01,TUB,,X,HRF01+WATER AT THE LINE=HRV01,2210,,,,,
235082,GARLIC/W VALUE ,6/32 OZ,SEASIDE,GWV01,TUB,X,,,3547,,,,,
235119,GARLIC/W VALUE ,6/32 OZ,CORTONA,GWV01,TUB,X,,,3547,,,,,
236082,GAR/O VALUE,6/32 OZ,SEASIDE,GOV01,TUB,X,,GWV01+OIL AT THE LINE=GOV01,3547,,,,,
257213,GAR/W SV,6/32 OZ,CULINAIRE EXPRESS,GWV02,TUB,X,,,3547,3547,3515,32,3653,3763
351147,GAR FRY SCE,6/32 OZ,MONARCH ,GFS01,TUB,X,,,4017,,,,,
351209,GAR FRY SCE,6/32 OZ,T,GFS01,TUB,X,,,4017,,0,,0,0
